iter	Passed	Remaining
631	1744	1015
632	1746	1012
633	1748	1009
634	1750	1006
635	1753	1003
636	1755	1000
637	1757	997
638	1761	995
639	1763	991
640	1765	988
641	1766	985
642	1768	982
643	1770	978
644	1772	975
645	1777	973
646	1779	970
647	1780	967
648	1782	964
649	1784	961
650	1786	957
651	1788	954
652	1792	952
653	1794	949
654	1796	946
655	1798	942
656	1800	939
657	1801	936
658	1803	933
659	1806	930
660	1808	927
661	1810	924
662	1812	921
663	1814	918
664	1817	915
665	1819	912
666	1824	910
667	1826	907
668	1828	904
669	1830	901
670	1832	898
671	1834	895
672	1836	892
673	1838	889
674	1840	886
675	1842	883
676	1844	879
677	1846	876
678	1847	873
679	1851	871
680	1853	868
681	1857	865
682	1859	862
683	1861	859
684	1863	856
685	1865	853
686	1866	850
687	1868	847
688	1870	844
689	1872	841
690	1874	838
691	1876	835
692	1878	832
693	1880	829
694	1883	826
695	1885	823
696	1886	820
697	1889	817
698	1890	814
699	1893	811
700	1896	808
701	1898	805
702	1900	802
703	1902	799
704	1904	796
705	1906	793
706	1909	791
707	1911	788
708	1913	785
709	1915	782
710	1917	779
711	1919	776
712	1921	773
713	1925	771
714	1927	768
715	1928	765
716	1930	762
717	1932	759
718	1934	756
719	1936	753
720	1939	750
721	1941	747
722	1943	744
723	1945	741
724	1946	738
725	1949	735
726	1950	732
727	1954	730
728	1956	727
729	1958	724
730	1960	721
731	1961	718
732	1963	715
733	1965	712
734	1967	709
735	1970	706
736	1972	703
737	1974	701
738	1976	698
739	1978	695
740	1980	692
741	1981	689
742	1987	687
743	1990	684
744	1992	682
745	1995	679
746	1998	676
747	2000	674
748	2002	671
749	2004	668
750	2006	665
751	2008	662
752	2010	659
753	2013	657
754	2016	654
755	2018	651
756	2019	648
757	2021	645
758	2023	642
759	2025	639
760	2028	637
761	2030	634
762	2032	631
763	2034	628
764	2036	625
765	2037	622
766	2040	619
767	2042	617
768	2044	614
769	2047	611
770	2048	608
771	2050	605
772	2052	602
773	2053	599
774	2055	596
775	2058	594
776	2060	591
777	2062	588
778	2064	585
779	2066	582
780	2068	579
781	2069	577
782	2072	574
783	2074	571
784	2076	568
785	2078	565
786	2080	562
787	2082	560
788	2083	557
789	2085	554
790	2090	552
791	2092	549
792	2094	546
793	2096	543
794	2098	541
795	2101	538
796	2104	535
797	2114	535
798	2121	533
799	2124	531
800	2127	528
801	2129	525
802	2132	523
803	2136	520
804	2139	518
805	2142	515
806	2144	512
807	2148	510
808	2153	508
809	2155	505
810	2158	502
811	2161	500
812	2163	497
813	2167	495
814	2170	492
815	2172	489
816	2175	487
817	2182	485
818	2185	482
819	2187	480
820	2190	477
821	2199	476
822	2202	473
823	2209	471
824	2211	469
825	2213	466
826	2215	463
827	2217	460
828	2219	457
829	2221	455
830	2232	453
831	2234	451
832	2241	449
833	2247	447
834	2252	445
835	2255	442
836	2257	439
837	2258	436
838	2262	434
839	2265	431
840	2269	429
841	2272	426
842	2274	423
843	2275	420
844	2278	417
845	2280	415
846	2283	412
847	2286	409
848	2288	407
849	2294	404
850	2297	402
851	2299	399
852	2302	396
853	2304	393
854	2308	391
855	2310	388
856	2312	385
857	2314	383
858	2317	380
859	2320	377
860	2324	375
861	2328	372
862	2333	370
863	2336	367
864	2341	365
865	2344	362
866	2346	359
867	2351	357
868	2355	355
869	2358	352
870	2362	349
871	2364	347
872	2368	344
873	2372	342
874	2374	339
875	2381	337
876	2385	334
877	2388	331
878	2390	329
879	2392	326
880	2398	323
881	2400	321
882	2403	318
883	2405	315
884	2407	312
885	2409	310
886	2413	307
887	2415	304
888	2417	301
889	2420	299
890	2421	296
891	2423	293
892	2430	291
893	2433	288
894	2435	285
895	2437	282
896	2439	280
897	2444	277
898	2446	274
899	2448	272
900	2451	269
901	2453	266
902	2456	263
903	2459	261
904	2461	258
905	2463	255
906	2465	252
907	2467	249
908	2469	247
909	2472	244
910	2475	241
911	2477	239
912	2479	236
913	2481	233
914	2483	230
915	2486	228
916	2489	225
917	2491	222
918	2493	219
919	2495	216
920	2497	214
921	2501	211
922	2503	208
923	2505	206
924	2507	203
925	2509	200
926	2512	197
927	2514	195
928	2517	192
929	2519	189
930	2520	186
931	2522	184
932	2524	181
933	2526	178
934	2528	175
935	2532	173
936	2533	170
937	2535	167
938	2537	164
939	2539	162
940	2541	159
941	2542	156
942	2546	153
943	2548	151
944	2550	148
945	2552	145
946	2554	142
947	2556	140
948	2557	137
949	2561	134
950	2563	132
951	2565	129
952	2567	126
953	2569	123
954	2570	121
955	2572	118
956	2575	115
957	2577	113
958	2579	110
959	2581	107
960	2583	104
961	2584	102
962	2586	99
963	2587	96
964	2589	93
965	2591	91
966	2593	88
967	2595	85
968	2597	83
969	2599	80
970	2600	77
971	2602	74
972	2605	72
973	2609	69
974	2611	66
975	2613	64
976	2615	61
977	2616	58
978	2618	56
979	2620	53
980	2622	50
981	2624	48
982	2626	45
983	2628	42
984	2630	40
985	2632	37
986	2635	34
987	2639	32
988	2641	29
989	2643	26
990	2645	24
991	2647	21
992	2649	18
993	2651	16
994	2653	13
995	2655	10
996	2657	7
997	2659	5
998	2661	2
999	2663	0
