iter	Passed	Remaining
802	1677	411
803	1679	409
804	1681	407
805	1685	405
806	1688	403
807	1690	401
808	1691	399
809	1693	397
810	1696	395
811	1703	394
812	1705	392
813	1706	390
814	1708	387
815	1713	386
816	1716	384
817	1718	382
818	1720	380
819	1722	378
820	1723	375
821	1729	374
822	1731	372
823	1733	370
824	1734	367
825	1736	365
826	1738	363
827	1742	361
828	1744	359
829	1746	357
830	1748	355
831	1750	353
832	1752	351
833	1754	349
834	1756	347
835	1758	344
836	1759	342
837	1762	340
838	1763	338
839	1766	336
840	1768	334
841	1770	332
842	1772	330
843	1773	327
844	1775	325
845	1778	323
846	1783	322
847	1785	320
848	1787	317
849	1789	315
850	1791	313
851	1793	311
852	1795	309
853	1797	307
854	1799	305
855	1800	302
856	1802	300
857	1805	298
858	1807	296
859	1811	294
860	1812	292
861	1814	290
862	1817	288
863	1819	286
864	1821	284
865	1824	282
866	1826	280
867	1828	278
868	1830	275
869	1832	273
870	1834	271
871	1836	269
872	1838	267
873	1841	265
874	1845	263
875	1847	261
876	1849	259
877	1851	257
878	1854	255
879	1856	253
880	1857	250
881	1860	248
882	1862	246
883	1864	244
884	1866	242
885	1871	240
886	1874	238
887	1876	236
888	1878	234
889	1880	232
890	1884	230
891	1888	228
892	1890	226
893	1893	224
894	1895	222
895	1901	220
896	1903	218
897	1905	216
898	1907	214
899	1908	212
900	1910	209
901	1914	208
902	1916	205
903	1918	203
904	1920	201
905	1922	199
906	1924	197
907	1930	195
908	1932	193
909	1934	191
910	1936	189
911	1938	187
912	1941	184
913	1944	182
914	1946	180
915	1948	178
916	1949	176
917	1951	174
918	1954	172
919	1958	170
920	1959	168
921	1961	165
922	1963	163
923	1965	161
924	1967	159
925	1972	157
926	1974	155
927	1976	153
928	1979	151
929	1982	149
930	1987	147
931	1989	145
932	1991	143
933	1993	140
934	1995	138
935	1997	136
936	2001	134
937	2004	132
938	2006	130
939	2010	128
940	2012	126
941	2015	124
942	2017	121
943	2020	119
944	2022	117
945	2030	115
946	2036	113
947	2038	111
948	2040	109
949	2043	107
950	2045	105
951	2050	103
952	2051	101
953	2054	99
954	2056	96
955	2059	94
956	2062	92
957	2064	90
958	2066	88
959	2068	86
960	2072	84
961	2079	82
962	2082	79
963	2084	77
964	2089	75
965	2092	73
966	2094	71
967	2096	69
968	2098	67
969	2103	65
970	2106	62
971	2108	60
972	2109	58
973	2112	56
974	2118	54
975	2120	52
976	2122	49
977	2125	47
978	2129	45
979	2131	43
980	2133	41
981	2135	39
982	2137	36
983	2139	34
984	2141	32
985	2144	30
986	2146	28
987	2148	26
988	2150	23
989	2152	21
990	2153	19
991	2156	17
992	2160	15
993	2162	13
994	2164	10
995	2165	8
996	2167	6
997	2168	4
998	2170	2
999	2174	0
